# GT/MT combo	# dups	# losses	Total score	Maps
GT-3662 to MT-0	1	7	8	((ISCAP-6945-00416e_ISCAP[ISCAP+-0],(CSCUL-CSCUL-001d3a_CSCUL[CSCUL+-0],(LHESP-LHESP-004074_LHESP[LHESP+-0],PTEPI-PTEPI-003fab_PTEPI[PTEPI+-0])<1>[<1>+-0])<2>[<4>+-0])<3>[<7>+-0],MOCCI-34638-003127_MOCCI[MOCCI+-0])<4>[<7>+-1]
GT-3663 to MT-0	5	12	17	(TURTI-32264-0028fc_TURTI[TURTI+-0],(((SMIMO-407821-005567_SMIMO[SMIMO+-0],LHESP-LHESP-0033c1_LHESP[LHESP+-0])<1>[<2>+-0],((CSCUL-CSCUL-003646_CSCUL[CSCUL+-0],(PTEPI-PTEPI-0006b5_PTEPI[PTEPI+-0],LHESP-LHESP-0033c2_LHESP[LHESP+-0])<2>[<1>+-0])<3>[<4>+-0],LRECL-LRECL-0039f6_LRECL[LRECL+-0])<4>[<4>+-1])<5>[<4>+-1],((MOCCI-34638-002660_MOCCI[MOCCI+-0],(ISCAP-6945-004d5b_ISCAP[ISCAP+-0],ISCAP-6945-001930_ISCAP[ISCAP+-0])<6>[ISCAP+-1])<7>[<5>+-0],CSCUL-CSCUL-003645_CSCUL[CSCUL+-0])<8>[<7>+-0])<9>[<7>+-1])<10>[<7>+-1]
GT-3664 to MT-0	6	17	23	((TURTI-32264-0036d9_TURTI[TURTI+-0],CSCUL-CSCUL-003d13_CSCUL[CSCUL+-0])<1>[<7>+-0],((PTEPI-PTEPI-0006c6_PTEPI[PTEPI+-0],SMIMO-407821-0066e4_SMIMO[SMIMO+-0])<2>[<2>+-0],((ISCAP-6945-00321f_ISCAP[ISCAP+-0],(MOCCI-34638-0043ca_MOCCI[MOCCI+-0],(MOCCI-34638-0043c9_MOCCI[MOCCI+-0],MOCCI-34638-0043e8_MOCCI[MOCCI+-0])<3>[MOCCI+-1])<4>[MOCCI+-1])<5>[<5>+-0],((SMIMO-407821-003105_SMIMO[SMIMO+-0],(PTEPI-PTEPI-0004b4_PTEPI[PTEPI+-0],CSCUL-CSCUL-003d12_CSCUL[CSCUL+-0])<6>[<4>+-0])<7>[<4>+-1],LHESP-LHESP-00333a_LHESP[LHESP+-0])<8>[<4>+-1])<9>[<7>+-0])<10>[<7>+-1])<11>[<7>+-1]
GT-3666 to MT-0	2	7	9	(ISCAP-6945-000578_ISCAP[ISCAP+-0],(TURTI-32264-0023a0_TURTI[TURTI+-0],(MOCCI-34638-001875_MOCCI[MOCCI+-0],((LRECL-LRECL-00051d_LRECL[LRECL+-0],((LHESP-LHESP-002a42_LHESP[LHESP+-0],PTEPI-PTEPI-001f9e_PTEPI[PTEPI+-0])<1>[<1>+-0],SMIMO-407821-004cfd_SMIMO[SMIMO+-0])<2>[<2>+-0])<3>[<3>+-0],CSCUL-CSCUL-002762_CSCUL[CSCUL+-0])<4>[<4>+-0])<5>[<7>+-0])<6>[<7>+-1])<7>[<7>+-1]
GT-3667 to MT-0	1	7	8	(LRECL-LRECL-002d0d_LRECL[LRECL+-0],(LRECL-LRECL-001634_LRECL[LRECL+-0],MOCCI-34638-000389_MOCCI[MOCCI+-0])<1>[<7>+-0])<2>[<7>+-1]
GT-3669 to MT-0	8	18	26	(CSCUL-CSCUL-00092f_CSCUL[CSCUL+-0],(TURTI-32264-004418_TURTI[TURTI+-0],(((ISCAP-6945-00170e_ISCAP[ISCAP+-0],MOCCI-34638-002114_MOCCI[MOCCI+-0])<1>[<5>+-0],(((SMIMO-407821-000f96_SMIMO[SMIMO+-0],(PTEPI-PTEPI-000275_PTEPI[PTEPI+-0],LHESP-LHESP-003930_LHESP[LHESP+-0])<2>[<1>+-0])<3>[<2>+-0],LRECL-LRECL-001c60_LRECL[LRECL+-0])<4>[<3>+-0],LRECL-LRECL-001c5f_LRECL[LRECL+-0])<5>[<3>+-1])<6>[<7>+-0],(CSCUL-CSCUL-000932_CSCUL[CSCUL+-0],(CSCUL-CSCUL-00670c_CSCUL[CSCUL+-0],((LHESP-LHESP-00276a_LHESP[LHESP+-0],SMIMO-407821-003645_SMIMO[SMIMO+-0])<7>[<2>+-0],(PTEPI-PTEPI-002518_PTEPI[PTEPI+-0],((LRECL-LRECL-00314b_LRECL[LRECL+-0],SMIMO-407821-0006cf_SMIMO[SMIMO+-0])<8>[<3>+-0],LHESP-LHESP-001602_LHESP[LHESP+-0])<9>[<3>+-1])<10>[<3>+-1])<11>[<3>+-1])<12>[<4>+-0])<13>[<4>+-1])<14>[<7>+-1])<15>[<7>+-1])<16>[<7>+-1]
GT-3670 to MT-0	8	21	29	((SMIMO-407821-001100_SMIMO[SMIMO+-0],((ISCAP-6945-00247b_ISCAP[ISCAP+-0],(((PTEPI-PTEPI-004c52_PTEPI[PTEPI+-0],SMIMO-407821-0032ca_SMIMO[SMIMO+-0])<1>[<2>+-0],CSCUL-CSCUL-006953_CSCUL[CSCUL+-0])<2>[<4>+-0],(SMIMO-407821-0022d6_SMIMO[SMIMO+-0],(PTEPI-PTEPI-00432f_PTEPI[PTEPI+-0],LHESP-LHESP-00203a_LHESP[LHESP+-0])<3>[<1>+-0])<4>[<2>+-0])<5>[<4>+-1])<6>[<7>+-0],CSCUL-CSCUL-0072c4_CSCUL[CSCUL+-0])<7>[<7>+-1])<8>[<7>+-1],(((ISCAP-6945-002c70_ISCAP[ISCAP+-0],(CSCUL-CSCUL-003783_CSCUL[CSCUL+-0],(CSCUL-CSCUL-003081_CSCUL[CSCUL+-0],CSCUL-CSCUL-000201_CSCUL[CSCUL+-0])<9>[CSCUL+-1])<10>[CSCUL+-1])<11>[<7>+-0],MOCCI-34638-002f10_MOCCI[MOCCI+-0])<12>[<7>+-1],MOCCI-34638-00105a_MOCCI[MOCCI+-0])<13>[<7>+-1])<14>[<7>+-1]
GT-3671 to MT-0	1	5	6	(CSCUL-CSCUL-003122_CSCUL[CSCUL+-0],((LRECL-LRECL-003ccf_LRECL[LRECL+-0],(SMIMO-407821-003d95_SMIMO[SMIMO+-0],(PTEPI-PTEPI-0015e6_PTEPI[PTEPI+-0],LHESP-LHESP-004097_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<2>+-0])<3>[<3>+-0],MOCCI-34638-001717_MOCCI[MOCCI+-0])<4>[<7>+-0])<5>[<7>+-1]
GT-3672 to MT-0	2	9	11	(((CSCUL-CSCUL-002bfe_CSCUL[CSCUL+-0],ISCAP-6945-004c25_ISCAP[ISCAP+-0])<1>[<7>+-0],CSCUL-CSCUL-002bff_CSCUL[CSCUL+-0])<2>[<7>+-1],((MOCCI-34638-0004d8_MOCCI[MOCCI+-0],TURTI-32264-001bb5_TURTI[TURTI+-0])<3>[<6>+-0],(SMIMO-407821-00132c_SMIMO[SMIMO+-0],PTEPI-PTEPI-001132_PTEPI[PTEPI+-0])<4>[<2>+-0])<5>[<7>+-0])<6>[<7>+-1]
GT-3673 to MT-0	1	5	6	((CSCUL-CSCUL-003590_CSCUL[CSCUL+-0],(SMIMO-407821-002aa6_SMIMO[SMIMO+-0],PTEPI-PTEPI-002813_PTEPI[PTEPI+-0])<1>[<2>+-0])<2>[<4>+-0],(ISCAP-6945-004c10_ISCAP[ISCAP+-0],(MOCCI-34638-003ada_MOCCI[MOCCI+-0],TURTI-32264-003833_TURTI[TURTI+-0])<3>[<6>+-0])<4>[<6>+-1])<5>[<7>+-0]
GT-3674 to MT-0	6	16	22	(((SMIMO-407821-000922_SMIMO[SMIMO+-0],LRECL-LRECL-0030e6_LRECL[LRECL+-0])<1>[<3>+-0],(LHESP-LHESP-0020ae_LHESP[LHESP+-0],PTEPI-PTEPI-006625_PTEPI[PTEPI+-0])<2>[<1>+-0])<3>[<3>+-1],(CSCUL-CSCUL-0005ed_CSCUL[CSCUL+-0],(((LRECL-LRECL-0008db_LRECL[LRECL+-0],(TURTI-32264-003cfc_TURTI[TURTI+-0],TURTI-32264-003d00_TURTI[TURTI+-0])<4>[TURTI+-1])<5>[<7>+-0],MOCCI-34638-004524_MOCCI[MOCCI+-0])<6>[<7>+-1],ISCAP-6945-000ac2_ISCAP[ISCAP+-0])<7>[<7>+-1])<8>[<7>+-1])<9>[<7>+-1]
GT-3675 to MT-0	3	6	9	((MOCCI-34638-00214c_MOCCI[MOCCI+-0],ISCAP-6945-004c09_ISCAP[ISCAP+-0])<1>[<5>+-0],(TURTI-32264-004537_TURTI[TURTI+-0],(CSCUL-CSCUL-00052b_CSCUL[CSCUL+-0],(SMIMO-407821-0054cf_SMIMO[SMIMO+-0],(LHESP-LHESP-002733_LHESP[LHESP+-0],(PTEPI-PTEPI-003381_PTEPI[PTEPI+-0],(PTEPI-PTEPI-003384_PTEPI[PTEPI+-0],LHESP-LHESP-0004f7_LHESP[LHESP+-0])<2>[<1>+-0])<3>[<1>+-1])<4>[<1>+-1])<5>[<2>+-0])<6>[<4>+-0])<7>[<7>+-0])<8>[<7>+-1]
GT-3676 to MT-0	8	26	34	(ISCAP-6945-003847_ISCAP[ISCAP+-0],((MOCCI-34638-004731_MOCCI[MOCCI+-0],(CSCUL-CSCUL-006396_CSCUL[CSCUL+-0],(TURTI-32264-002630_TURTI[TURTI+-0],CSCUL-CSCUL-000b6e_CSCUL[CSCUL+-0])<1>[<7>+-0])<2>[<7>+-1])<3>[<7>+-1],(LRECL-LRECL-0027dc_LRECL[LRECL+-0],(SMIMO-407821-003069_SMIMO[SMIMO+-0],(((CSCUL-CSCUL-006397_CSCUL[CSCUL+-0],LHESP-LHESP-0006a5_LHESP[LHESP+-0])<4>[<4>+-0],SMIMO-407821-00306b_SMIMO[SMIMO+-0])<5>[<4>+-1],PTEPI-PTEPI-001571_PTEPI[PTEPI+-0])<6>[<4>+-1])<7>[<4>+-1])<8>[<4>+-1])<9>[<7>+-1])<10>[<7>+-1]
GT-3677 to MT-0	8	26	34	(MOCCI-34638-00365c_MOCCI[MOCCI+-0],(TURTI-32264-0022af_TURTI[TURTI+-0],(PTEPI-PTEPI-0054e2_PTEPI[PTEPI+-0],(CSCUL-CSCUL-006b95_CSCUL[CSCUL+-0],(((LRECL-LRECL-000777_LRECL[LRECL+-0],ISCAP-6945-001740_ISCAP[ISCAP+-0])<1>[<7>+-0],CSCUL-CSCUL-005025_CSCUL[CSCUL+-0])<2>[<7>+-1],(CSCUL-CSCUL-006b93_CSCUL[CSCUL+-0],(((LRECL-LRECL-000776_LRECL[LRECL+-0],LHESP-LHESP-00345b_LHESP[LHESP+-0])<3>[<3>+-0],SMIMO-407821-004e89_SMIMO[SMIMO+-0])<4>[<3>+-1],PTEPI-PTEPI-0054e4_PTEPI[PTEPI+-0])<5>[<3>+-1])<6>[<4>+-0])<7>[<7>+-1])<8>[<7>+-1])<9>[<7>+-1])<10>[<7>+-1])<11>[<7>+-1]
GT-3678 to MT-0	5	11	16	((TURTI-32264-000847_TURTI[TURTI+-0],TURTI-32264-00414b_TURTI[TURTI+-0])<1>[TURTI+-1],((MOCCI-34638-003c3f_MOCCI[MOCCI+-0],ISCAP-6945-002a6f_ISCAP[ISCAP+-0])<2>[<5>+-0],(CSCUL-CSCUL-002b53_CSCUL[CSCUL+-0],(LRECL-LRECL-004729_LRECL[LRECL+-0],((LHESP-LHESP-00074d_LHESP[LHESP+-0],(LRECL-LRECL-00472a_LRECL[LRECL+-0],PTEPI-PTEPI-005488_PTEPI[PTEPI+-0])<3>[<3>+-0])<4>[<3>+-1],SMIMO-407821-002147_SMIMO[SMIMO+-0])<5>[<3>+-1])<6>[<3>+-1])<7>[<4>+-0])<8>[<7>+-0])<9>[<7>+-1]
GT-3679 to MT-0	3	12	15	(((PTEPI-PTEPI-003a46_PTEPI[PTEPI+-0],(LHESP-LHESP-003bbf_LHESP[LHESP+-0],SMIMO-407821-005882_SMIMO[SMIMO+-0])<1>[<2>+-0])<2>[<2>+-1],(TURTI-32264-001660_TURTI[TURTI+-0],(CSCUL-CSCUL-00067f_CSCUL[CSCUL+-0],PTEPI-PTEPI-003a45_PTEPI[PTEPI+-0])<3>[<4>+-0])<4>[<7>+-0])<5>[<7>+-1],(ISCAP-6945-0028a6_ISCAP[ISCAP+-0],MOCCI-34638-001d5c_MOCCI[MOCCI+-0])<6>[<5>+-0])<7>[<7>+-1]
GT-3680 to MT-0	5	16	21	((LRECL-LRECL-000154_LRECL[LRECL+-0],((PTEPI-PTEPI-000077_PTEPI[PTEPI+-0],LHESP-LHESP-001402_LHESP[LHESP+-0])<1>[<1>+-0],SMIMO-407821-000946_SMIMO[SMIMO+-0])<2>[<2>+-0])<3>[<3>+-0],(CSCUL-CSCUL-0020d4_CSCUL[CSCUL+-0],(CSCUL-CSCUL-0020d5_CSCUL[CSCUL+-0],(TURTI-32264-001e27_TURTI[TURTI+-0],((ISCAP-6945-000cf5_ISCAP[ISCAP+-0],(LRECL-LRECL-000155_LRECL[LRECL+-0],LHESP-LHESP-001b38_LHESP[LHESP+-0])<4>[<3>+-0])<5>[<7>+-0],MOCCI-34638-003446_MOCCI[MOCCI+-0])<6>[<7>+-1])<7>[<7>+-1])<8>[<7>+-1])<9>[<7>+-1])<10>[<7>+-1]
GT-3681 to MT-0	3	13	16	((((ISCAP-6945-0045d5_ISCAP[ISCAP+-0],CSCUL-CSCUL-005bed_CSCUL[CSCUL+-0])<1>[<7>+-0],SMIMO-407821-001c1f_SMIMO[SMIMO+-0])<2>[<7>+-1],(PTEPI-PTEPI-00390c_PTEPI[PTEPI+-0],LHESP-LHESP-001c2d_LHESP[LHESP+-0])<3>[<1>+-0])<4>[<7>+-1],(MOCCI-34638-0047fb_MOCCI[MOCCI+-0],TURTI-32264-002024_TURTI[TURTI+-0])<5>[<6>+-0])<6>[<7>+-1]
GT-3682 to MT-0	1	3	4	(CSCUL-CSCUL-006066_CSCUL[CSCUL+-0],((MOCCI-34638-002340_MOCCI[MOCCI+-0],ISCAP-6945-000cd0_ISCAP[ISCAP+-0])<1>[<5>+-0],(CSCUL-CSCUL-002b96_CSCUL[CSCUL+-0],(LRECL-LRECL-002b31_LRECL[LRECL+-0],(SMIMO-407821-003f7d_SMIMO[SMIMO+-0],(LHESP-LHESP-002116_LHESP[LHESP+-0],PTEPI-PTEPI-0021e6_PTEPI[PTEPI+-0])<2>[<1>+-0])<3>[<2>+-0])<4>[<3>+-0])<5>[<4>+-0])<6>[<7>+-0])<7>[<7>+-1]
GT-3683 to MT-0	2	8	10	(TURTI-32264-003326_TURTI[TURTI+-0],(SMIMO-407821-00333c_SMIMO[SMIMO+-0],(PTEPI-PTEPI-004dc8_PTEPI[PTEPI+-0],(SMIMO-407821-000cde_SMIMO[SMIMO+-0],LRECL-LRECL-00189e_LRECL[LRECL+-0])<1>[<3>+-0])<2>[<3>+-1])<3>[<3>+-1])<4>[<7>+-0]
GT-3684 to MT-0	1	5	6	(CSCUL-CSCUL-005d60_CSCUL[CSCUL+-0],((TURTI-32264-0005e3_TURTI[TURTI+-0],ISCAP-6945-003065_ISCAP[ISCAP+-0])<1>[<6>+-0],(SMIMO-407821-005c52_SMIMO[SMIMO+-0],LRECL-LRECL-0019a2_LRECL[LRECL+-0])<2>[<3>+-0])<3>[<7>+-0])<4>[<7>+-1]
GT-3685 to MT-0	2	5	7	(CSCUL-CSCUL-006fd2_CSCUL[CSCUL+-0],((CSCUL-CSCUL-006b6b_CSCUL[CSCUL+-0],CSCUL-CSCUL-006b6c_CSCUL[CSCUL+-0])<1>[CSCUL+-1],LHESP-LHESP-000684_LHESP[LHESP+-0])<2>[<4>+-0])<3>[<4>+-1]
GT-3686 to MT-0	5	19	24	(CSCUL-CSCUL-0034c1_CSCUL[CSCUL+-0],(((PTEPI-PTEPI-006797_PTEPI[PTEPI+-0],((SMIMO-407821-0030d8_SMIMO[SMIMO+-0],PTEPI-PTEPI-0043c3_PTEPI[PTEPI+-0])<1>[<2>+-0],((MOCCI-34638-0024c3_MOCCI[MOCCI+-0],ISCAP-6945-001dd0_ISCAP[ISCAP+-0])<2>[<5>+-0],CSCUL-CSCUL-0039f2_CSCUL[CSCUL+-0])<3>[<7>+-0])<4>[<7>+-1])<5>[<7>+-1],MOCCI-34638-00394b_MOCCI[MOCCI+-0])<6>[<7>+-1],((SMIMO-407821-00354a_SMIMO[SMIMO+-0],(PTEPI-PTEPI-00288b_PTEPI[PTEPI+-0],LHESP-LHESP-003019_LHESP[LHESP+-0])<7>[<1>+-0])<8>[<2>+-0],TURTI-32264-001dfe_TURTI[TURTI+-0])<9>[<7>+-0])<10>[<7>+-1])<11>[<7>+-1]
GT-3687 to MT-0	1	6	7	(ISCAP-6945-0040ff_ISCAP[ISCAP+-0],((CSCUL-CSCUL-003fa3_CSCUL[CSCUL+-0],(PTEPI-PTEPI-003966_PTEPI[PTEPI+-0],LRECL-LRECL-004f7c_LRECL[LRECL+-0])<1>[<3>+-0])<2>[<4>+-0],(TURTI-32264-003d0b_TURTI[TURTI+-0],MOCCI-34638-001ab1_MOCCI[MOCCI+-0])<3>[<6>+-0])<4>[<7>+-0])<5>[<7>+-1]
GT-3688 to MT-0	15	20	35	(((MOCCI-34638-0005a0_MOCCI[MOCCI+-0],MOCCI-34638-002a1d_MOCCI[MOCCI+-0])<1>[MOCCI+-1],(TURTI-32264-002691_TURTI[TURTI+-0],TURTI-32264-0014dc_TURTI[TURTI+-0])<2>[TURTI+-1])<3>[<6>+-0],(TURTI-32264-004428_TURTI[TURTI+-0],((LRECL-LRECL-0039f5_LRECL[LRECL+-0],LRECL-LRECL-003595_LRECL[LRECL+-0])<4>[LRECL+-1],((LHESP-LHESP-00294a_LHESP[LHESP+-0],ISCAP-6945-00493d_ISCAP[ISCAP+-0])<5>[<7>+-0],(PTEPI-PTEPI-004e08_PTEPI[PTEPI+-0],((((LHESP-LHESP-004389_LHESP[LHESP+-0],LHESP-LHESP-0009c8_LHESP[LHESP+-0])<6>[LHESP+-1],((PTEPI-PTEPI-00451a_PTEPI[PTEPI+-0],(PTEPI-PTEPI-00451c_PTEPI[PTEPI+-0],PTEPI-PTEPI-007508_PTEPI[PTEPI+-0])<7>[PTEPI+-1])<8>[PTEPI+-1],PTEPI-PTEPI-006be8_PTEPI[PTEPI+-0])<9>[PTEPI+-1])<10>[<1>+-0],(PTEPI-PTEPI-003ef2_PTEPI[PTEPI+-0],PTEPI-PTEPI-00204a_PTEPI[PTEPI+-0])<11>[PTEPI+-1])<12>[<1>+-1],LHESP-LHESP-0009cb_LHESP[LHESP+-0])<13>[<1>+-1])<14>[<1>+-1])<15>[<7>+-1])<16>[<7>+-1])<17>[<7>+-1])<18>[<7>+-1]
GT-3689 to MT-0	2	5	7	((LRECL-LRECL-0038a5_LRECL[LRECL+-0],(PTEPI-PTEPI-005cad_PTEPI[PTEPI+-0],LHESP-LHESP-002b43_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<3>+-0],(CSCUL-CSCUL-0066a1_CSCUL[CSCUL+-0],((MOCCI-34638-003f3b_MOCCI[MOCCI+-0],MOCCI-34638-003f3c_MOCCI[MOCCI+-0])<3>[MOCCI+-1],ISCAP-6945-0038ab_ISCAP[ISCAP+-0])<4>[<5>+-0])<5>[<7>+-0])<6>[<7>+-1]
GT-3690 to MT-0	3	13	16	((ISCAP-6945-002976_ISCAP[ISCAP+-0],(SMIMO-407821-00256a_SMIMO[SMIMO+-0],PTEPI-PTEPI-003d92_PTEPI[PTEPI+-0])<1>[<2>+-0])<2>[<7>+-0],(TURTI-32264-00208f_TURTI[TURTI+-0],(MOCCI-34638-000f8a_MOCCI[MOCCI+-0],(CSCUL-CSCUL-001adc_CSCUL[CSCUL+-0],MOCCI-34638-000f89_MOCCI[MOCCI+-0])<3>[<7>+-0])<4>[<7>+-1])<5>[<7>+-1])<6>[<7>+-1]
GT-3691 to MT-0	1	5	6	(((MOCCI-34638-0029a8_MOCCI[MOCCI+-0],ISCAP-6945-00249e_ISCAP[ISCAP+-0])<1>[<5>+-0],CSCUL-CSCUL-000e97_CSCUL[CSCUL+-0])<2>[<7>+-0],(TURTI-32264-001ee2_TURTI[TURTI+-0],((PTEPI-PTEPI-0052b3_PTEPI[PTEPI+-0],LHESP-LHESP-0005ed_LHESP[LHESP+-0])<3>[<1>+-0],SMIMO-407821-001fef_SMIMO[SMIMO+-0])<4>[<2>+-0])<5>[<7>+-0])<6>[<7>+-1]
GT-3692 to MT-0	1	6	7	(ISCAP-6945-0005bf_ISCAP[ISCAP+-0],(TURTI-32264-001910_TURTI[TURTI+-0],((SMIMO-407821-004b35_SMIMO[SMIMO+-0],PTEPI-PTEPI-004edd_PTEPI[PTEPI+-0])<1>[<2>+-0],CSCUL-CSCUL-003af3_CSCUL[CSCUL+-0])<2>[<4>+-0])<3>[<7>+-0])<4>[<7>+-1]
GT-3693 to MT-0	0	4	4	(ISCAP-6945-004ac1_ISCAP[ISCAP+-0],(LRECL-LRECL-0046bb_LRECL[LRECL+-0],(PTEPI-PTEPI-004de9_PTEPI[PTEPI+-0],LHESP-LHESP-002393_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<3>+-0])<3>[<7>+-0]
GT-3694 to MT-0	3	8	11	(ISCAP-6945-001cfe_ISCAP[ISCAP+-0],(((((LHESP-LHESP-004238_LHESP[LHESP+-0],PTEPI-PTEPI-0040ee_PTEPI[PTEPI+-0])<1>[<1>+-0],SMIMO-407821-00546c_SMIMO[SMIMO+-0])<2>[<2>+-0],(LRECL-LRECL-004c00_LRECL[LRECL+-0],LRECL-LRECL-003881_LRECL[LRECL+-0])<3>[LRECL+-1])<4>[<3>+-0],TURTI-32264-003951_TURTI[TURTI+-0])<5>[<7>+-0],MOCCI-34638-002115_MOCCI[MOCCI+-0])<6>[<7>+-1])<7>[<7>+-1]
GT-3695 to MT-0	0	3	3	((CSCUL-CSCUL-00473e_CSCUL[CSCUL+-0],(SMIMO-407821-005781_SMIMO[SMIMO+-0],PTEPI-PTEPI-005acd_PTEPI[PTEPI+-0])<1>[<2>+-0])<2>[<4>+-0],(ISCAP-6945-001b46_ISCAP[ISCAP+-0],MOCCI-34638-0032f5_MOCCI[MOCCI+-0])<3>[<5>+-0])<4>[<7>+-0]
GT-3696 to MT-0	1	5	6	(ISCAP-6945-001332_ISCAP[ISCAP+-0],(CSCUL-CSCUL-002277_CSCUL[CSCUL+-0],(CSCUL-CSCUL-006ce4_CSCUL[CSCUL+-0],(PTEPI-PTEPI-000a8e_PTEPI[PTEPI+-0],LHESP-LHESP-0009d8_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<4>+-0])<3>[<4>+-1])<4>[<7>+-0]
GT-3697 to MT-0	8	20	28	(CSCUL-CSCUL-000350_CSCUL[CSCUL+-0],(((LHESP-LHESP-00016e_LHESP[LHESP+-0],PTEPI-PTEPI-003161_PTEPI[PTEPI+-0])<1>[<1>+-0],((ISCAP-6945-004338_ISCAP[ISCAP+-0],(LRECL-LRECL-0013c0_LRECL[LRECL+-0],(PTEPI-PTEPI-003162_PTEPI[PTEPI+-0],LHESP-LHESP-00016f_LHESP[LHESP+-0])<2>[<1>+-0])<3>[<3>+-0])<4>[<7>+-0],(MOCCI-34638-00481c_MOCCI[MOCCI+-0],(MOCCI-34638-000903_MOCCI[MOCCI+-0],MOCCI-34638-00481d_MOCCI[MOCCI+-0])<5>[MOCCI+-1])<6>[MOCCI+-1])<7>[<7>+-1])<8>[<7>+-1],((LHESP-LHESP-003c11_LHESP[LHESP+-0],(LRECL-LRECL-0012b4_LRECL[LRECL+-0],SMIMO-407821-002533_SMIMO[SMIMO+-0])<9>[<3>+-0])<10>[<3>+-1],LRECL-LRECL-0013c2_LRECL[LRECL+-0])<11>[<3>+-1])<12>[<7>+-1])<13>[<7>+-1]
GT-3698 to MT-0	0	2	2	(CSCUL-CSCUL-006390_CSCUL[CSCUL+-0],(LRECL-LRECL-001b6c_LRECL[LRECL+-0],(SMIMO-407821-00403c_SMIMO[SMIMO+-0],PTEPI-PTEPI-004bf4_PTEPI[PTEPI+-0])<1>[<2>+-0])<2>[<3>+-0])<3>[<4>+-0]
GT-3699 to MT-0	1	2	3	((TURTI-32264-003abb_TURTI[TURTI+-0],(ISCAP-6945-002cba_ISCAP[ISCAP+-0],MOCCI-34638-004245_MOCCI[MOCCI+-0])<1>[<5>+-0])<2>[<6>+-0],(CSCUL-CSCUL-000643_CSCUL[CSCUL+-0],(CSCUL-CSCUL-000642_CSCUL[CSCUL+-0],((LHESP-LHESP-002a5c_LHESP[LHESP+-0],PTEPI-PTEPI-0044dd_PTEPI[PTEPI+-0])<3>[<1>+-0],SMIMO-407821-00344b_SMIMO[SMIMO+-0])<4>[<2>+-0])<5>[<4>+-0])<6>[<4>+-1])<7>[<7>+-0]
GT-3700 to MT-0	7	15	22	(TURTI-32264-00054c_TURTI[TURTI+-0],(LRECL-LRECL-004cfc_LRECL[LRECL+-0],((MOCCI-34638-002d01_MOCCI[MOCCI+-0],ISCAP-6945-0044e8_ISCAP[ISCAP+-0])<1>[<5>+-0],((((SMIMO-407821-000eaf_SMIMO[SMIMO+-0],SMIMO-407821-0057e0_SMIMO[SMIMO+-0])<2>[SMIMO+-1],(LRECL-LRECL-0033e7_LRECL[LRECL+-0],LHESP-LHESP-003c1b_LHESP[LHESP+-0])<3>[<3>+-0])<4>[<3>+-1],LHESP-LHESP-003992_LHESP[LHESP+-0])<5>[<3>+-1],(CSCUL-CSCUL-0016b0_CSCUL[CSCUL+-0],(LRECL-LRECL-0026d4_LRECL[LRECL+-0],(SMIMO-407821-004534_SMIMO[SMIMO+-0],(PTEPI-PTEPI-002750_PTEPI[PTEPI+-0],PTEPI-PTEPI-007512_PTEPI[PTEPI+-0])<6>[PTEPI+-1])<7>[<2>+-0])<8>[<3>+-0])<9>[<4>+-0])<10>[<4>+-1])<11>[<7>+-0])<12>[<7>+-1])<13>[<7>+-1]
GT-3701 to MT-0	1	5	6	(CSCUL-CSCUL-0054ea_CSCUL[CSCUL+-0],(PTEPI-PTEPI-0025d0_PTEPI[PTEPI+-0],CSCUL-CSCUL-00576d_CSCUL[CSCUL+-0])<1>[<4>+-0])<2>[<4>+-1]
GT-3702 to MT-0	8	13	21	((MOCCI-34638-004878_MOCCI[MOCCI+-0],(TURTI-32264-0019b2_TURTI[TURTI+-0],TURTI-32264-000cde_TURTI[TURTI+-0])<1>[TURTI+-1])<2>[<6>+-0],((CSCUL-CSCUL-004cd9_CSCUL[CSCUL+-0],(((ISCAP-6945-00057a_ISCAP[ISCAP+-0],ISCAP-6945-0011e7_ISCAP[ISCAP+-0])<3>[ISCAP+-1],CSCUL-CSCUL-006d1e_CSCUL[CSCUL+-0])<4>[<7>+-0],CSCUL-CSCUL-003530_CSCUL[CSCUL+-0])<5>[<7>+-1])<6>[<7>+-1],(LRECL-LRECL-002f2c_LRECL[LRECL+-0],(SMIMO-407821-002678_SMIMO[SMIMO+-0],(SMIMO-407821-003a4e_SMIMO[SMIMO+-0],(LHESP-LHESP-000cc9_LHESP[LHESP+-0],(PTEPI-PTEPI-002ad2_PTEPI[PTEPI+-0],LHESP-LHESP-000ccc_LHESP[LHESP+-0])<7>[<1>+-0])<8>[<1>+-1])<9>[<2>+-0])<10>[<2>+-1])<11>[<3>+-0])<12>[<7>+-1])<13>[<7>+-1]
